slug,nama,umkm,kategori,harga,satuan,foto,penilaian,galeri1,galeri2,galeri3,galeri4,unggulan,deskripsi,rincian1_label,rincian1_isi,rincian2_label,rincian2_isi,rincian3_label,rincian3_isi,rincian4_label,rincian4_isi,rincian5_label,rincian5_isi,rincian6_label,rincian6_isi
meja-tv-abu-meubel,Meja TV Minimalis,abu-meubel,kerajinan,GANTI: kisaran harga,per unit,abu-meubel-7.jpg,0,,,,,FALSE,"Meja/rak TV minimalis dengan rak terbuka, finishing putih duco.",Jenis pekerjaan,Bisa custom ukuran,Bahan,GANTI: jenis material yang dipakai,Waktu pengerjaan,GANTI: perkiraan lama pengerjaan,,,,,,
bakso-biasa-andin,Bakso Biasa,mie-ayam-bakso-neng-andin,kuliner,Rp11.000,per mangkuk,bakso-andin-2.jpg,0,,,,,TRUE,"Bakso kuah dengan bakso urat dan mi, porsi biasa.",Isi,"Bakso, mi, tahu",,,,,,,,,,
bakso-super-andin,Bakso Super,mie-ayam-bakso-neng-andin,kuliner,Rp15.000,per mangkuk,bakso-andin-3.jpg,0,,,,,FALSE,"Bakso kuah porsi super, isi bakso dan daging lebih banyak.",Isi,"Bakso, potongan daging, mi, tahu",,,,,,,,,,
mie-ayam-andin,Mie Ayam,mie-ayam-bakso-neng-andin,kuliner,Rp11.000,per mangkuk,bakso-andin-4.jpg,0,,,,,FALSE,"Mie ayam dengan topping ayam cincang dan sayuran, disajikan dengan kuah terpisah.",Isi,"Mi, ayam cincang, sayuran, kuah kaldu",,,,,,,,,,
mie-yamso-biasa-andin,Mie Yamso Biasa,mie-ayam-bakso-neng-andin,kuliner,Rp13.000,per porsi,bakso-andin-5.jpg,0,,,,,FALSE,"Mie yamin bakso porsi biasa, disajikan dengan sayuran dan kerupuk.",Isi,"Mi yamin, bakso, sayuran, kerupuk",,,,,,,,,,
mie-yamso-sedang-andin,Mie Yamso Sedang,mie-ayam-bakso-neng-andin,kuliner,Rp15.000,per porsi,bakso-andin-5.jpg,0,,,,,FALSE,Mie yamin bakso porsi sedang.,Isi,"Mi yamin, bakso, sayuran, kerupuk",,,,,,,,,,
mie-yamso-super-andin,Mie Yamso Super,mie-ayam-bakso-neng-andin,kuliner,Rp25.000,per porsi,bakso-andin-5.jpg,0,,,,,FALSE,"Mie yamin bakso porsi super, isi paling banyak.",Isi,"Mi yamin, bakso, sayuran, kerupuk",,,,,,,,,,
es-teh-manis-andin,Es Teh Manis,mie-ayam-bakso-neng-andin,kuliner,Rp4.000,per gelas,,0,,,,,FALSE,Es teh manis.,,,,,,,,,,,,
teh-botol-andin,Teh Botol,mie-ayam-bakso-neng-andin,kuliner,Rp5.000,per botol,,0,,,,,FALSE,Teh botol kemasan.,,,,,,,,,,,,
es-jeruk-andin,Es Jeruk,mie-ayam-bakso-neng-andin,kuliner,Rp5.000,per gelas,,0,,,,,FALSE,Es jeruk peras.,,,,,,,,,,,,
air-mineral-andin,Air Mineral,mie-ayam-bakso-neng-andin,kuliner,Rp4.000,per botol,,0,,,,,FALSE,Air mineral kemasan.,,,,,,,,,,,,
es-teh-jumbo-ningrat,Es Teh Jumbo Original,es-teh-ningrat,kuliner,Rp3.000,per cup,es-teh-ningrat-jumbo.jpg,0,,,,,TRUE,"Es teh original ukuran jumbo, resep asli Solo.",Varian,"Original, asli Solo",,,,,,,,,,
es-teh-kampul-ningrat,Es Teh Kampul,es-teh-ningrat,kuliner,Rp4.000,per cup,es-teh-ningrat-kampul.jpg,0,,,,,FALSE,Es teh dengan campuran jeruk kampul segar.,Varian,Rasa jeruk kampul,,,,,,,,,,
es-teh-lychee-ningrat,Es Teh Lychee,es-teh-ningrat,kuliner,Rp5.000,per cup,es-teh-ningrat-lychee.jpg,0,,,,,FALSE,Es teh dengan potongan buah leci.,Varian,Rasa lychee,,,,,,,,,,
es-teh-apple-ningrat,Es Teh Apple,es-teh-ningrat,kuliner,Rp5.000,per cup,es-teh-ningrat-apple.jpg,0,,,,,FALSE,Es teh dengan potongan buah apel.,Varian,Rasa apple,,,,,,,,,,
es-teh-strawberry-ningrat,Es Teh Strawberry,es-teh-ningrat,kuliner,Rp5.000,per cup,es-teh-ningrat-strawberry.jpg,0,,,,,FALSE,Es teh dengan potongan buah stroberi.,Varian,Rasa strawberry,,,,,,,,,,
es-teh-anggur-ningrat,Es Teh Anggur,es-teh-ningrat,kuliner,Rp5.000,per cup,es-teh-ningrat-anggur.jpg,0,,,,,FALSE,Es teh dengan potongan buah anggur.,Varian,Rasa anggur,,,,,,,,,,
milkshake-taro-ningrat,Taro Ube Milkshake,es-teh-ningrat,kuliner,Rp9.000,per cup,es-teh-ningrat-taro.jpg,0,,,,,FALSE,Milkshake rasa taro/ubi ungu.,Varian,Taro ube,,,,,,,,,,
milkshake-matcha-ningrat,Matcha Milkshake,es-teh-ningrat,kuliner,Rp9.000,per cup,es-teh-ningrat-matcha.jpg,0,,,,,FALSE,Milkshake rasa matcha.,Varian,Matcha,,,,,,,,,,
milkshake-thaitea-ningrat,Thai Tea Milkshake,es-teh-ningrat,kuliner,Rp9.000,per cup,es-teh-ningrat-thaitea.jpg,0,,,,,FALSE,Milkshake rasa thai tea.,Varian,Thai tea,,,,,,,,,,
milkshake-royalchoco-ningrat,Royal Chocolate Milkshake,es-teh-ningrat,kuliner,Rp9.000,per cup,es-teh-ningrat-royalchoco.jpg,0,,,,,FALSE,Milkshake cokelat.,Varian,Royal chocolate,,,,,,,,,,
milkshake-avocado-ningrat,Avocado Milkshake,es-teh-ningrat,kuliner,Rp9.000,per cup,es-teh-ningrat-avocado.jpg,0,,,,,FALSE,Milkshake alpukat.,Varian,Avocado,,,,,,,,,,
